Basin,Subbasin,Date,Year,Month,Avg_rainfall,Agency_name
Barak and Others Basin,Barak,2022-01-25,2022,01,0.514108282,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-18,2022,01,0.012034005,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-19,2022,01,0.157440349,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-20,2022,01,0.045109955,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-21,2022,01,2.708044462,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-26,2022,01,0.012882982,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-27,2022,01,2.571642154,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-28,2022,01,0.979500897,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-29,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Barak,2022-01-30,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-04,2022,01,0.001201216,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-05,2022,01,0.00391701,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-06,2022,01,0.14944175,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-07,2022,01,0.002976927,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-08,2022,01,0.00058494,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-10,2022,01,0.071746559,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-03,2022,01,0.001201216,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-09,2022,01,0,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-11,2022,01,0.09348074,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-12,2022,01,9.642886394,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-13,2022,01,8.815065585,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-14,2022,01,4.145501824,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-15,2022,01,0.014257915,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-16,2022,01,0.006544017,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-17,2022,01,0.002976927,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-18,2022,01,0.00029247,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-22,2022,01,1.598609957,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-23,2022,01,0.103933933,NRSC VIC MODEL
Barak and Others Basin,Kynchiang and other south flowing rivers,2022-01-24,2022,01,0.875618771,NRSC VIC MODEL
